iter	Passed	Remaining
0	11	3407
1	21	3158
2	31	3133
3	40	3012
4	50	2964
5	59	2899
6	68	2856
7	81	2969
8	95	3087
9	102	2974
10	108	2843
11	112	2708
12	116	2578
13	121	2486
14	125	2393
15	129	2293
16	132	2200
17	134	2111
18	137	2034
19	140	1963
20	142	1895
21	145	1833
22	147	1775
23	149	1723
24	152	1674
25	154	1630
26	157	1588
27	159	1549
28	161	1513
29	164	1479
30	166	1446
31	169	1419
32	171	1390
33	174	1363
34	176	1337
35	179	1313
36	182	1296
37	185	1275
38	187	1256
39	190	1237
40	192	1217
41	195	1199
42	197	1181
43	200	1164
44	202	1148
45	205	1132
46	208	1123
47	211	1111
48	214	1100
49	218	1090
50	222	1088
51	225	1076
52	228	1062
53	230	1050
54	233	1040
55	236	1028
56	238	1016
57	240	1005
58	243	995
59	246	986
60	249	977
61	251	966
62	254	958
63	257	947
64	259	938
65	262	929
66	264	921
67	267	912
68	270	904
69	272	896
70	275	887
71	277	879
72	280	871
73	282	863
74	285	855
75	287	847
76	289	839
77	292	832
78	294	824
79	297	817
80	299	809
81	302	802
82	305	798
83	307	791
84	310	784
85	312	777
86	315	771
87	317	764
88	319	758
89	322	751
90	324	745
91	327	739
92	329	733
93	331	727
94	334	721
95	336	715
96	339	709
97	341	704
98	344	698
99	346	692
100	348	687
101	351	681
102	353	676
103	356	671
104	358	665
105	360	660
106	363	655
107	365	650
108	368	645
109	370	640
110	372	634
111	375	630
112	377	625
113	380	620
114	382	615
115	385	610
116	387	606
117	389	601
118	392	596
119	394	592
120	397	588
121	400	584
122	403	581
123	406	577
124	410	574
125	413	570
126	416	567
127	419	563
128	421	559
129	424	555
130	427	551
131	429	546
132	432	542
133	434	538
134	437	534
135	440	530
136	442	526
137	444	522
138	447	518
139	449	514
140	452	510
141	454	506
142	457	501
143	459	497
144	462	493
145	464	489
146	466	485
147	469	481
148	472	478
149	474	474
150	477	470
151	479	466
152	481	462
153	484	459
154	486	455
155	489	451
156	491	447
157	494	444
158	496	440
159	499	436
160	501	433
161	504	429
162	506	425
163	509	422
164	511	418
165	513	414
166	516	411
167	518	407
168	521	404
169	523	400
170	526	396
171	528	393
172	531	389
173	533	386
174	535	382
175	538	379
176	540	375
177	543	372
178	545	368
179	547	365
180	550	361
181	552	358
182	555	355
183	557	351
184	560	348
185	562	344
186	564	341
187	567	338
188	569	334
189	572	331
190	574	327
191	578	325
192	581	322
193	586	320
194	589	317
195	593	314
196	596	311
197	599	308
198	603	306
199	605	302
200	607	299
201	610	296
202	612	292
203	616	290
204	619	287
205	622	283
206	624	280
207	627	277
208	629	274
209	632	270
210	634	267
211	636	264
212	639	261
213	641	257
214	644	254
215	647	251
216	649	248
217	652	245
218	654	242
219	657	239
220	659	235
221	662	232
222	664	229
223	667	226
224	669	223
225	671	219
226	674	216
227	676	213
228	679	210
229	681	207
230	684	204
231	686	201
232	689	198
233	691	195
234	693	191
235	696	188
236	698	185
237	701	182
238	703	179
239	706	176
240	708	173
241	711	170
242	713	167
243	716	164
244	719	161
245	721	158
246	723	155
247	726	152
248	729	149
249	733	146
250	735	143
251	737	140
252	740	137
253	742	134
254	745	131
255	747	128
256	750	125
257	752	122
258	754	119
259	757	116
260	759	113
261	762	110
262	764	107
263	766	104
264	769	101
265	771	98
266	774	95
267	776	92
268	779	89
269	782	86
270	785	84
271	788	81
272	791	78
273	794	75
274	797	72
275	799	69
276	802	66
277	805	63
278	809	60
279	811	57
280	814	55
281	816	52
282	818	49
283	821	46
284	824	43
285	826	40
286	828	37
287	831	34
288	833	31
289	836	28
290	838	25
291	841	23
292	843	20
293	846	17
294	848	14
295	851	11
296	853	8
297	856	5
298	858	2
299	860	0
